#CLAVE,  CARR,  CAL1, CAL2, PUNTOS, ORD, EXT
FS109, QUI, 0, 90, 40, 85, 
FS104, CIV, 100, 79, 34, 88, 
FS105, IQU, 64, 40, 40, 71, 
FS101, COM, 45, 40, 36, 62, 
FS102, IQU, 50, 0, 40, 55, 
FS103, MEL, 36, 87, 40, 77, 
FS202, MEL, 0, 0, 9, 9, 
FS103, MEL, 100, 87, 40, 96, 
FS202, MEL, 50, 89, 40, 82, 
FS108, CEL, 46, 44, 33, 60, 
FS105, COM, 86, 80, 40, 90, 
FS105, IQU, 57, 55, 40, 74, 
FS102, TOP, 40, 0, 40, 52, 
FS102, IND, 80, 25, 40, 72, 
FS104, MEL, 77, 86, 40, 89, 
FS105, IND, 7, 50, 40, 57, 47
FS102, IND, 10, 0, 0, 3, 
FS202, FIS, 50, 0, 0, 15, 
FS108, CEL, 46, 50, 31, 60, 
FS102, IQU, 90, 75, 40, 90, 
FS105, CEL, 57, 60, 39, 74, 
FS107, CEL, 36, 87, 40, 77, 
FS102, IND, 70, 17, 38, 64, 
FS101, CEL, 55, 20, 40, 62, 
FS102, COM, 30, 8, 30, 41, 
FS109, CEL, 0, 0, 19, 19, 
FS105, IND, 71, 95, 40, 90, 
FS102, QUI, 60, 50, 38, 71, 
FS202, CEL, 20, 67, 40, 66, 
FS102, CEL, 70, 33, 40, 71, 
FS104, CIV, 75, 57, 40, 80, 
FS108, CEL, 46, 56, 30, 61, 
FS105, , 79, 75, 40, 86, 
FS102, IND, 80, 25, 40, 72, 
FS102, IQU, 10, 42, 40, 56, 
FS105, QUI, 21, 35, 0, 17, 27
FS105, MEL, 50, 0, 0, 15, 
FS107, MEL, 36, 33, 0, 21, 
FS105, CEL, 50, 40, 40, 67, 
FS102, IND, 30, 25, 40, 56, 
FS101, , 65, 0, 0, 20, 
FS102, COM, 50, 42, 32, 60, 
FS105, COM, 36, 0, 0, 11, 
FS103, MEL, 64, 0, 0, 19, 
FS104, MEL, 92, 86, 40, 93, 
FS102, IQU, 90, 42, 40, 80, 
FS202, CEL, 30, 33, 40, 60, 
FS101, CIV, 40, 75, 25, 60, 
FS102, IND, 100, 25, 20, 60, 
FS105, CIV, 43, 90, 32, 72, 
FS108, CEL, 77, 56, 40, 80, 
FS202, CEL, 50, 44, 40, 68, 
FS105, MEL, 71, 65, 0, 41, 
FS108, CEL, 23, 50, 40, 62, 
FS202, CEL, 40, 44, 40, 65, 
FS103, MEL, 57, 60, 0, 35, 
FS101, IND, 35, 0, 0, 10, 
FS102, CEL, 10, 25, 0, 10, 
FS202, MEL, 20, 56, 25, 48, 59
FS102, IND, 30, 8, 0, 11, 
FS109, BIM, 0, 71, 45, 80, 
FS104, CIV, 92, 86, 27, 80, 
FS102, FIS, 70, 50, 30, 66, 
FS104, MEL, 100, 64, 40, 89, 
FS107, CEL, 50, 73, 40, 77, 
FS105, CEL, 50, 70, 18, 54, 62
FS101, CIV, 85, 65, 40, 85, 
FS109, CIV, 0, 90, 50, 95, 
FS105, COM, 79, 80, 40, 88, 
FS109, CEL, 0, 65, 50, 82, 
FS103, CIV, 87, 67, 36, 82, 
FS105, CIV, 50, 0, 0, 15, 
FS105, IQU, 43, 90, 38, 78, 
FS202, MEL, 20, 56, 40, 63, 
FS102, , 50, 33, 40, 65, 
FS102, IQU, 100, 25, 40, 78, 
FS101, IND, 75, 15, 40, 67, 
FS102, IND, 20, 8, 40, 48, 
FS102, CEL, 80, 33, 40, 74, 
FS105, QUI, 29, 35, 36, 55, 
FS109, QUI, 0, 72, 40, 76, 
FS202, MEL, 60, 56, 40, 75, 
FS105, IND, 50, 40, 40, 67, 
FS105, IQU, 57, 85, 40, 83, 
FS108, CEL, 31, 81, 39, 73, 
FS202, CEL, 20, 56, 40, 63, 
FS107, MEL, 79, 100, 35, 89, 
FS109, CEL, 0, 67, 37, 70, 
FS101, QFB, 55, 60, 40, 74, 
FS102, COM, 70, 25, 40, 68, 
FS105, QUI, 29, 0, 0, 9, 
FS102, IQU, 80, 50, 40, 79, 
FS109, FIS, 0, 62, 42, 73, 
FS102, FIS, 70, 50, 0, 36, 
FS101, FIS, 80, 75, 25, 72, 
FS109, TOP, 0, 52, 50, 76, 
FS103, CIV, 79, 20, 40, 70, 
FS101, MAT, 30, 40, 40, 61, 
FS104, MEL, 100, 79, 40, 94, 
FS102, COM, 60, 17, 40, 63, 
FS105, CEL, 86, 75, 25, 73, 
FS102, COM, 30, 0, 25, 34, 
FS104, CIV, 92, 93, 40, 96, 
FS103, MEL, 86, 67, 40, 86, 
FS202, CEL, 0, 33, 40, 50, 
FS108, CEL, 54, 69, 9, 46, 54
FS101, QFB, 50, 70, 40, 76, 
FS102, CEL, 60, 33, 40, 68, 
FS202, CEL, 40, 33, 37, 60, 
FS108, CEL, 23, 63, 0, 26, 
FS102, CEL, 60, 0, 0, 18, 
FS105, IND, 64, 85, 40, 85, 
FS109, BIM, 0, 81, 46, 86, 
FS102, INF, 50, 42, 35, 63, 
FS105, QUI, 50, 30, 40, 64, 
FS109, CEL, 0, 0, 27, 27, 
FS107, CEL, 64, 0, 40, 60, 
FS101, CEL, 50, 70, 40, 76, 
FS103, MEL, 86, 40, 20, 60, 
FS105, MEL, 64, 30, 40, 68, 
FS101, TOP, 45, 45, 33, 60, 
FS108, CEL, 23, 19, 0, 13, 
FS104, MEL, 100, 100, 40, 100, 
FS103, CIV, 29, 73, 40, 71, 
FS102, TOP, 70, 17, 40, 66, 
FS105, CEL, 64, 55, 40, 76, 
FS103, MEL, 57, 53, 30, 63, 
FS105, IND, 64, 55, 40, 76, 
FS109, CIV, 0, 85, 45, 88, 
FS101, CIV, 60, 65, 39, 76, 
FS102, IQU, 30, 42, 34, 56, 
FS202, CEL, 30, 67, 40, 69, 
FS102, TOP, 10, 25, 40, 50, 
FS202, CEL, 30, 56, 40, 66, 
FS108, CEL, 77, 88, 40, 90, 
FS105, COM, 36, 55, 0, 27, 
FS102, CEL, 60, 42, 40, 71, 
FS104, CIV, 100, 64, 40, 89, 
FS104, MEL, 100, 79, 40, 94, 
FS107, MEL, 50, 53, 20, 51, 58
FS109, CIV, 0, 70, 35, 70, 
FS101, CIV, 35, 50, 40, 66, 
FS102, IQU, 70, 33, 40, 71, 
FS108, CEL, 54, 31, 37, 62, 
FS102, IQU, 90, 50, 40, 82, 
FS102, TOP, 50, 17, 40, 60, 
FS105, MEL, 50, 45, 10, 38, 
FS108, CEL, 38, 56, 0, 28, 39
FS202, CEL, 30, 22, 30, 46, 47
FS202, CEL, 30, 44, 40, 62, 
FS102, CEL, 20, 17, 39, 50, 60
FS103, CIV, 50, 27, 40, 63, 
FS102, COM, 50, 17, 13, 33, 53
FS107, CEL, 21, 67, 0, 26, 
FS105, CEL, 29, 40, 40, 61, 
FS104, MEL, 75, 36, 40, 73, 
FS202, MEL, 50, 67, 40, 75, 
FS102, IND, 40, 25, 40, 60, 
FS109, BIM, 0, 76, 45, 83, 
FS109, CIV, 0, 57, 44, 72, 
FS101, CIV, 70, 50, 40, 76, 
FS109, CIV, 0, 86, 50, 93, 
FS101, CIV, 80, 85, 40, 90, 
FS103, MEL, 79, 67, 36, 80, 
FS101, COM, 30, 40, 40, 61, 
FS101, MAT, 35, 70, 40, 72, 
FS102, CEL, 20, 0, 25, 31, 
FS101, CEL, 25, 30, 40, 56, 
FS104, CIV, 83, 86, 40, 91, 
FS103, CIV, 36, 20, 40, 57, 
FS109, CIV, 0, 76, 46, 84, 
FS202, MEL, 40, 56, 40, 69, 
FS105, CIV, 79, 95, 40, 92, 
FS102, QUI, 40, 17, 23, 40, 
FS105, QUI, 43, 65, 36, 68, 
FS103, CIV, 36, 47, 40, 65, 
FS109, CIV, 0, 0, 24, 24, 
FS103, MEL, 100, 40, 33, 75, 
FS103, MEL, 64, 47, 30, 63, 
FS102, IQU, 70, 33, 39, 70, 
FS102, INF, 60, 33, 30, 60, 
FS107, CEL, 36, 40, 0, 23, 
FS107, MEL, 64, 0, 0, 19, 
FS102, QUI, 10, 33, 36, 49, 
FS102, CEL, 40, 50, 34, 61, 
FS102, QUI, 70, 42, 27, 61, 
FS108, CEL, 38, 69, 37, 69, 
FS105, CEL, 80, 55, 40, 80, 
FS107, CEL, 0, 73, 40, 62, 
FS109, CEL, 0, 43, 44, 66, 
FS101, COM, 35, 40, 40, 62, 
FS101, CEL, 45, 25, 30, 51, 
FS105, IND, 50, 35, 40, 66, 
FS101, IND, 50, 80, 30, 69, 
FS103, CIV, 21, 80, 38, 68, 
FS101, CIV, 85, 80, 40, 90, 
FS109, CIV, 0, 70, 35, 70, 
FS202, CEL, 80, 20, 0, 30, 
FS104, MEL, 83, 57, 23, 65, 
FS101, CIV, 35, 45, 40, 64, 
FS109, CIV, 0, 38, 0, 19, 
FS102, IND, 70, 33, 40, 71, 
FS108, CEL, 38, 44, 8, 33, 29
FS102, INF, 50, 17, 40, 60, 
FS105, COM, 64, 65, 40, 79, 
FS105, IND, 43, 40, 18, 43, 29
FS202, CEL, 0, 33, 0, 10, 
FS101, CIV, 65, 45, 40, 73, 
FS109, CIV, 0, 95, 50, 98, 
FS105, MEL, 79, 90, 40, 91, 
FS107, MEL, 36, 100, 40, 81, 
FS104, CIV, 100, 36, 40, 81, 
FS103, MEL, 50, 60, 40, 73, 
FS105, IQU, 57, 60, 40, 75, 
FS101, CEL, 70, 70, 40, 82, 
FS102, CEL, 40, 42, 40, 65, 
FS103, CIV, 79, 67, 20, 64, 
