# 100m_usain_bolt.dat
# t	d	v	a	p

0	0	0	0	0
1.85	10	5.405405405	2.92184076	1484.610981
2.87	20	9.803921569	4.312270748	3974.053435
3.78	30	10.98901099	1.302296066	1345.228904
4.65	40	11.49425287	0.580737798	627.4638281
5.5	50	11.76470588	0.31818001	351.8696585
6.32	60	12.19512195	0.524897645	601.7119345
7.14	70	12.19512195	1.5164E-14	1.73831E-11
7.96	80	12.19512195	-1.5164E-14	-1.73831E-11
8.79	90	12.04819277	-0.177023109	-200.4840025
9.69	100	11.11111111	-1.041201844	-1087.477482
