#	Distancia 		velociad		aceleración		potencia 	
0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	1.88	1.85	5.32	5.41	2.83	2.92	1219.02	1484.61
20	2.96	2.87	9.26	9.80	3.65	4.31	2736.19	3974.05
30	3.88	3.78	10.87	10.99	1.75	1.30	1541.05	1345.23
40	4.77	4.65	11.24	11.49	0.41	0.58	374.67	627.46
50	5.61	5.30	11.90	15.38	0.80	5.99	767.76	8655.48
60	6.46	6.32	11.76	9.80	-0.16	-5.47	-157.02	-5042.15
70	7.30	7.14	11.90	12.20	0.17	2.92	160.78	3342.84
80	8.13	7.96	12.05	12.20	0.17	0.00	168.64	0.00
90	9.00	8.79	11.49	12.05	-0.64	-0.18	-592.80	-200.48
100	9.86	9.69	11.63	11.11	0.16	-1.04	146.38	-1087.48
